country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019
Country_101,0.022299835046079464,439.15200916392337,89.41488443784182,47.39921000017448,7.396905734912329,82.77007925360535,4.51726997574986,14.834394450855093,7.020056189968704,61.54371600693813
Country_102,0.895678639382993,424.5170919010948,58.397893983495116,22.788148220533618,85.08869611164572,51.47922677931188,41.68472191880645,55.318741180187345,69.32320333047947,19.72335897252947
Country_103,0.8915439945413581,580.2048453094634,34.68805994114539,1.9379957003063941,44.25057291949651,57.38757074983785,69.22904281013686,44.454593822625256,45.43489520476543,21.15692755689199
Country_104,0.4764127335936875,440.6283915736652,18.961644753439664,8.460377901078243,85.37161916486983,68.61838623653513,98.09573747880506,12.738002460513265,51.78877100123924,88.39194061005736
Country_105,0.3264034055511096,450.53689175584265,11.087166421107298,45.19660938591553,19.033326714502852,99.91567290422041,44.88123575637471,35.651245004312536,93.20851582108332,88.9813101438607
Country_106,0.04606448809663566,410.3299346525373,78.14595095147158,34.88255277867294,11.82609007462715,82.61498495411644,55.02314045774148,36.101839389987354,64.98698603410375,7.407418775006446
Country_107,0.4513114013099987,531.0793140279493,30.29317600169489,28.47875547123424,92.9548194759664,13.454816176978756,30.791483207617055,40.83946606481646,6.999953726937925,9.814894451827227
Country_108,0.1301565481382715,409.2439961389373,60.16785810444595,6.694019343403585,48.72495399770544,32.771976436621664,18.95094906094038,69.81980677030857,63.81097087509342,11.950940323525327
Country_109,0.3484045832550988,540.7992922588226,19.917359396390854,6.077214978024137,61.51619249771771,88.82059942590692,85.8372373290864,4.25824835476607,36.23773628808314,72.85878487941024
Country_110,0.6572473287695737,583.8292472497201,67.502248353426,49.25284184558722,29.791276882617403,53.30773422479884,0.4446410385827826,42.37279307700778,28.26932645464717,45.741560310000295
Country_111,0.7678172546556371,414.5942894136763,96.91996479453555,37.220632688537506,54.18094251961413,81.5295664202656,14.882383488045692,33.55677720230362,31.847951031245746,33.250479456954395
Country_112,0.4004443177691174,583.1165729395111,5.501291884473892,47.23288031648394,92.27642508503543,29.011232451930713,93.25537912759086,77.5897933802236,10.565522548667094,38.97202164551159
Country_113,0.5464534898112973,494.3674481349468,93.90877433194355,48.18351061133524,92.77385645149934,4.8199382407222435,88.64264132271977,51.67075613240346,60.660636795728095,2.609008302770588
Country_114,0.0911443193097854,480.352089721841,97.7830824052309,13.730244516746465,91.03627748549683,22.752181630625646,67.91708460054522,51.46255674877585,71.1083909361118,29.972241299750635
Country_115,0.9962016297860866,429.33948260294835,46.837844833016895,22.71886397785475,34.521941138706424,49.847516470538835,74.77827836273127,16.52659434170094,14.800071980370289,41.001607428221284
Country_116,0.8139237147028678,576.5642732032283,83.31078622158567,32.732520335297096,49.608935237437514,29.6239578918833,94.11040548333752,80.00656981425081,18.590728997472073,44.96979715134045
Country_117,0.5860270602312128,515.8607127843019,94.35463508598052,42.38739902070185,5.187172215221924,31.055628852778728,45.574040939031015,38.837583847139236,36.13381024349782,38.24353444038384
Country_118,0.41939342556958603,547.4788299201101,70.35747000912365,36.171682057575794,37.00876119674169,9.713852200158735,34.4432897418337,9.069067654579843,53.54034492499415,92.2145791420848
Country_119,0.6965518385143976,556.7795857509755,17.09357512507984,49.84353093000096,41.70098695197879,7.168631405366044,38.36791657761995,44.32810291685531,68.47463110435696,52.33569809305667
Country_120,0.07158537891805639,539.3779102976455,67.10176386115745,45.15039035537566,85.64488140154992,10.671972335355528,87.74377614365537,65.92082400298177,18.15338877993895,45.87016500436527
Country_121,0.5501724185887642,444.6176210589382,15.534497162430327,11.933700066754959,72.94550632524106,54.6492926652199,58.63161890910842,1.2038102870494227,31.075006519081704,35.8966608300166
Country_122,0.013374359378300338,402.0736438525094,63.649015345749895,0.4987082682442523,25.158095125041967,95.74753251098765,81.41754463912288,99.5686130589615,51.8216423403967,85.70369967803519
Country_123,0.8888751683432164,429.3047654160183,58.92422411553117,23.124998326762626,54.26996836723119,74.95855197374804,81.72307136943718,1.3265444614163346,16.104466163823762,54.978841496991336
Country_124,0.16253918168011205,550.1582698102411,43.011150460205606,35.583060196618085,95.58322459136794,38.42969576410157,85.6729362161747,86.01525889616993,19.316548280923374,6.439867561091273
Country_125,0.5645512728295659,572.3474501561755,6.124991940586133,2.273181355849796,18.342348041561674,22.228988842178964,6.120251510460861,30.78110523143063,25.978529063254186,1.6388891183097498
Country_126,0.7013702122452256,402.2745821789649,57.53644034521297,2.356880639787734,58.22756985740305,65.22740181641421,1.260064256829485,66.24923032996494,65.40619515490471,99.18309282766958
Country_127,0.45060407648533374,464.71254841577684,11.463349166130321,40.84605513832778,79.03471854888429,12.795765348291365,72.51881623861621,36.10978276418948,50.547921301767396,61.341150700263036
Country_128,0.21599971693649966,578.5979681999356,43.622619461824385,32.80384912301359,97.58555559910168,84.72509472553428,30.931364627710234,39.72306214388841,68.91615688839556,17.381933418907856
Country_129,0.3430344330212344,588.8973792140481,29.663856463351955,0.9643601748668185,86.80261009013218,99.478397964954,50.05974823894773,72.72724628152193,26.010157797028043,42.93806432141649
Country_130,0.9359731932774824,583.1129386609956,62.26696754527731,49.49026597274813,30.220657947640127,28.537072105407425,80.3518501841379,28.95041704521327,53.80089100757425,52.15282336410662
Country_131,0.2608106415406628,536.3564251274831,46.498941287816834,3.99917692144679,13.859222190838771,38.11642254755221,37.71362271881462,82.33248459612282,72.02542709385402,99.79701854644827
Country_132,0.9119252753283602,511.0299076825538,76.65142619636957,30.50788708656114,39.802538292387894,75.90447271085704,32.07691981352095,67.77024493075487,96.71211021191837,35.83231273919486
Country_133,0.5886408834139824,532.1063507277306,21.515138830709233,28.93794679156511,82.82587959608799,48.85044928079315,12.895782302367065,66.65323264136356,57.09220538953404,11.72032125570368
Country_134,0.35216074306370726,557.9200954509982,19.92968481699474,44.382926077821246,13.813808661372917,91.88792336394121,44.58212544523475,58.40139523599615,83.23621942472057,83.04262233935604
Country_135,0.7114027987721303,478.67645199913306,6.951005658820286,27.742314608164477,42.73168025981824,47.003759599768976,8.468597945738587,56.387313538992586,88.63972654820994,12.184634704256004
Country_136,0.270522536765872,467.55108010547855,35.063554614019964,46.784148484649606,19.36158446761864,54.29624965864846,48.763052424586526,30.344961766366563,89.03805207271208,87.53660734107824
Country_137,0.8638732170732022,447.86200607785685,80.64374180580964,8.774749268353766,81.85054258364008,99.99550877836808,69.00121155027217,10.561550658496365,22.840534885659658,16.93622026172178
Country_138,0.8171746838515094,476.69764411070594,11.980222942025732,11.285318001493188,75.15366417920745,46.56695122508042,84.15661922157165,56.407012789143586,92.42420568089045,22.177931405189177
Country_139,0.266140762996974,577.2836796655205,43.97947919495858,20.18239337406087,42.72208593165347,42.18384179433961,35.87517816829015,23.150199394250937,8.46223932817799,45.93739498368048
Country_140,0.8528816919952065,577.4284987713518,98.39314665737781,44.09066717936037,69.90486372199469,20.596623668185178,87.614759001294,38.55763142601107,58.37615857882199,72.17869748604467
Country_141,0.778675511270015,526.1890145788451,35.01506785780173,19.393738047286362,89.0575432083219,7.93819329619242,57.419535353454485,26.229930355042164,11.73966679118006,35.158747452185644
Country_142,0.7245546475399111,525.3815651574284,72.81712888012224,21.459414470409243,52.64798208926022,10.18695520204943,90.63429676790324,51.50809444603174,74.39308406866752,74.63141578935327
Country_143,0.6246877837104082,421.0669560247605,33.34700063578004,2.051108247034805,62.57652246530145,34.228416221318504,95.09521942461012,59.08174361502997,97.66918740053492,81.4627152897405
Country_144,0.43412796356544003,406.33348757712065,80.19382280344537,28.197231724250777,61.22004278794545,30.960816696806038,41.938253572843834,54.43603923815588,45.981259030013064,20.483119909160365
Country_145,0.01549098024460338,515.3949986852606,15.459976608929793,3.94206520224793,15.25809988597664,99.44389155207362,33.94524542559072,68.89908280244155,31.504810263664996,50.61415292200056
Country_146,0.13484103515096002,537.581944643234,91.04225899206699,16.778879747517834,70.12368806454619,83.29027922242561,69.6013018281325,98.19466765713732,44.30002791335797,67.52962963438168
Country_147,0.15370914608801722,400.2575415867619,85.54736925961171,29.527711758983138,37.240435121469275,86.38696319393163,57.993026245330256,17.276514216530327,8.173972404198038,97.31440325267351
Country_148,0.5097615081049847,496.2786740522848,90.4546407763449,35.255748899794575,48.779932078256714,91.35026600580662,2.473391748499776,87.39300353297365,90.9483728270314,95.67771937080629
Country_149,0.3969313366454915,592.9065028871611,0.21025909720855385,3.5169917414311302,42.37545231478575,29.648024397912142,58.04915047082614,6.345255758090584,27.17062078638647,77.53288320222394
Country_150,0.9332243066239724,501.58421901811937,47.801216536883786,1.7409764233148661,46.16550373116163,68.27436210705984,65.85728324204891,33.51592767528463,0.39483723828938055,17.878067088333705
Country_151,0.8066790040863784,558.3418222679762,41.33798767848883,39.43578513436112,44.69201973364506,69.88510803356817,39.4959412475919,43.58003660744289,11.694256262759106,51.0909579259615
Country_152,0.4236390453337401,554.0037883109879,49.49498225723331,25.57275656246432,6.936277852625405,91.77217093579276,77.06501817036948,37.76355193601323,58.615371520812296,29.55632137355566
Country_153,0.1658536204337755,587.2462942864566,27.65135231118956,30.872829254138583,69.77447692848932,39.26224164190373,21.08006440279627,37.092561423288195,96.70989330190085,68.70262842509504
Country_154,0.6970216733257958,506.26975915192986,32.207398664753626,47.08321440899346,71.54781661323776,63.73764403678099,35.51615446902553,19.867782897826192,94.94779401682325,73.03629760405099
Country_155,0.41693742576683646,514.0153947439868,93.78305634620087,2.790265268202452,63.47558106084726,63.72228170737178,37.608646287155544,23.528166666720175,29.686717380693427,79.18505846664088
Country_156,0.3547625596895506,595.5421376529173,98.79096363989265,48.142077726908575,0.8089377265135922,11.763578215911096,54.50518517164311,62.284465114303224,7.8747673805004474,19.518494208517456
Country_157,0.24263297079611768,599.5674078051529,61.098714976577625,45.31707761443872,3.9119978449815074,16.11081632392407,31.56322114798892,10.897797949971356,85.11531691180565,31.851410172815562
Country_158,0.7763147034017266,493.3968043429664,63.348906695951754,24.851136921191998,80.30791404122624,99.96843678635784,65.4697385659026,81.1599089531018,61.54919683296745,41.282051437011646
Country_159,0.011581880463384375,550.224111281549,42.092758549191146,49.46386053666868,25.21331336566941,54.04681892042418,84.0350498386429,71.1849083612727,14.945376347305285,90.61772745621253
Country_160,0.6080852042619924,502.27140044869236,34.34488469173787,36.296360141862394,64.89242187285991,0.03920484097599264,80.38718918566013,95.29391570891065,60.93754390065207,90.72571297130074
Country_161,0.8764537012048674,580.8354607683202,82.27479137882267,42.048995795441186,90.18018738900196,43.19419719658627,10.452997235379124,59.88420678016298,89.00946101587157,69.53924912481655
Country_162,0.07283507187214144,461.4987731727545,83.48758158038085,32.047877944828535,46.38822841557575,44.81099756249407,35.662874964228784,83.458233909789,97.52231599958671,64.21612441860059
Country_163,0.6910203564455318,452.3945041624611,55.86609460836121,8.861012162357484,19.73070171447716,18.14259824610319,63.00516532588151,41.6088577623644,3.5407039175474386,13.269637755832854
Country_164,0.18558376452696734,511.73244124751545,45.20433126069878,15.348244987509323,4.927011375221058,89.9696195383888,91.6426351778932,1.9763712767339792,10.21724557328837,47.393095237484985
Country_165,0.5664831132307346,440.29531941654204,78.63395212749595,31.72113858900241,9.988592168289046,85.14569763172824,95.89262488671349,5.79139468861174,92.3276923017997,33.35176507912762
Country_166,0.043453262316201724,461.12381030210224,44.890199064916125,37.05983393891435,40.434151916497385,70.28316148006695,37.92686850411403,53.4189472140041,53.29099558429906,48.66981417579017
Country_167,0.7555281935736559,502.7747062323648,31.99556796299975,36.12123179988663,90.09526312099315,80.24517885423614,1.903239003396806,94.9286440805502,39.9153459613469,8.743713477426041
Country_168,0.23614805406852257,409.49122346641064,3.9570683870291945,16.222325475256184,21.536617159570813,99.60049653025797,67.89927594221733,14.91118435278106,28.149222003203167,11.945593063156767
Country_169,0.7154218321736164,557.1758693316509,74.24187320795063,18.860529889762983,45.767929503525295,82.81358163455658,4.85227666473631,83.26216928270293,77.61059849432303,90.183980669624
Country_170,0.15309253273936885,560.2182802869216,2.33230117883626,35.33207742067979,54.582485612969165,66.25926278435786,37.82381504762971,32.423448796336004,80.95467204788984,9.289269619473261
Country_171,0.0072634397695949815,568.3693344548001,6.315196347650842,5.909105144689297,45.05429895834868,7.793481961405857,82.96654108439634,34.436824986095374,90.7238222933333,37.04538183515807
Country_172,0.049804672364405,459.5531406522164,69.4524884297229,14.32376823633142,40.53835019057901,23.694236010394953,19.79368421702373,42.92710213209018,73.4722069135692,37.38147465353985
Country_173,0.8659839291002419,555.5054891070027,25.394014994931347,20.986272215474795,81.9374969431474,37.54660251536187,89.6486269845073,54.41146661395892,38.657126139678255,27.581061753271506
Country_174,0.46332611240870436,549.8927852879159,47.355383767592606,41.897229203187244,68.31782069599672,1.4555915558699506,96.13872901052957,43.38155762868951,92.19668521550537,25.417587019537223
Country_175,0.4416167690196945,442.91418765975885,7.282272610468155,39.12451843045182,15.843894854729879,35.61109526014192,7.588656239469027,79.3496215219659,28.87964429074027,33.233633404734974
Country_176,0.5531176855373319,470.31901786985895,71.01210509516972,7.275020553043715,34.12630467745773,86.21844065858369,26.118015630858714,6.614112031445685,7.824966994013993,19.110709261580904
Country_177,0.3812852265314116,417.76683988039537,35.48206917130329,0.181657328524798,30.80172484393191,87.99910935967031,1.9014729536037223,49.10159134718688,11.166294695738276,44.157000658644364
Country_178,0.5625582957243868,526.9008020056328,5.24804800949129,45.225952301516564,33.28147658943074,39.22436875075358,85.05957603660339,92.64171074259094,8.440402401741832,24.154404158798435
Country_179,0.6016999751593737,479.607556368729,82.41974439323448,3.1616724641960525,96.5955806312452,91.95614944398167,45.390562863506965,8.459323999054646,30.348464026912193,58.310904345094784
Country_180,0.305631838598901,405.7362383156316,46.66703679887565,42.162691583397866,64.32257884811573,41.648559770423844,45.19206202420044,11.328386516516753,32.09546537211568,20.320169280516144
Country_181,0.13090642609548087,452.7433685401783,30.20140229433437,37.20582240816393,95.93213207611522,88.7533191593394,35.77869831332746,24.94589596921276,43.744450757107586,57.0917957121611
Country_182,0.9877698365066502,522.2672073859759,39.71902976712198,11.562729972008329,42.7697669840495,31.105704843842275,36.5088812273566,99.41585117796876,95.52100095490317,35.45332563619784
Country_183,0.3052653649383772,586.2952028453287,55.317750570638935,19.42462362720361,80.74773705740986,74.25417175843897,31.644223658587332,4.145990469383842,50.812600673644695,65.93701812474688
Country_184,0.6696970811751487,566.9872504590305,71.34828475131961,31.9779793750685,13.509801920891773,6.360295087581125,20.033215909126877,48.721293385088124,99.91800258564103,41.33093056000242
Country_185,0.5661099186521492,491.0608177401634,46.991649553044255,26.80179825717921,81.88259639040426,6.063000585993783,29.263485092020048,27.199554938573055,34.95752586797336,72.07626417307259
Country_186,0.6009972194251856,561.0817499017746,8.900126284342956,22.851511440327798,99.4644975618526,14.648169998627614,78.89720860044754,56.84859117613571,36.264099504902426,69.42030522920919
Country_187,0.7769132371878474,450.57058496928806,46.66526446310154,21.22806800764976,28.087269299021422,72.758877318518,39.951253753376804,48.48635712535978,60.237846604405576,18.50593362909786
Country_188,0.21587036834888296,464.6731085484681,17.31209619042208,42.1485935458914,13.87132533243065,89.1310660845686,40.43044955459656,42.318445888279555,99.87180688447668,93.34295418384858
Country_189,0.6327988678918474,550.3743177955018,46.48417560975188,28.69533070054191,33.24203881881365,42.3512339142769,50.05642343425873,60.383676971324995,5.438945907388559,24.762292121467432
Country_190,0.978815744026947,507.0939654742758,49.87372746197599,9.17921144376609,15.923983367482952,83.57082184477986,48.7944064169073,1.0216561215145803,47.22297398351743,36.59295106121178
Country_191,0.6473148003294175,463.53257644176847,59.781092278508055,41.065972468526866,49.71777216553577,41.366437257596026,33.89732990536043,39.27676342100693,73.5724331860656,87.40334492243616
Country_192,0.4753630658532366,526.2141718547402,55.9625486484518,28.596422437581754,11.094325112583581,41.1091549801733,96.20173000107108,77.27186113970312,51.577856300031776,77.12645599939161
Country_193,0.10135493957183483,464.06542520104864,12.48540747980924,19.69105589402922,65.64815297958432,27.61675190709949,21.699364675950072,11.116258417347247,85.32213042837373,80.57079456935931
Country_194,0.573503137642931,483.85444101560836,74.45799996620066,18.386985059061516,9.581890412191818,35.60244569308245,16.783258640933553,58.48460804331348,25.06091877000668,89.77015710374776
Country_195,0.8037816164598465,489.235674481023,90.5543860571945,16.97993519525795,59.186471542605624,87.82266779340502,38.38305121825031,60.82723844413477,21.561180763326572,48.93063185830461
Country_196,0.8753150674030405,475.5068309195039,23.93427676527551,17.02688928277737,53.14716273515258,98.72280398916715,15.706576585928056,31.3018854940739,55.673153014302756,72.09421576392707
